pub_date,tag,header,full_text
25.11.2024, Происшествия,В ДТП на трассе в Тетюшском районе погибла легкоатлетка из Зеленодольска,"В результате ДТП в Тетюшском районе Татарстана погибла 19-летняя легкоатлетка из Зеленодольска. Как рассказали в администрации Зеленодольского района РТ, воспитанница спортшколы № 4 Милена Малюшкина лидер прошлого зимнего сезона в Татарстане на дистанции 400 метров, она более десяти раз поднималась на пьедестал почета. В июне Милена заняла второе место на первенстве ПФО среди девушек до 20 лет. «Татар-информ» рассказывал, что вчера вечером «Лада» с 19-летней девушкой за рулем вылетела с трассы, ее юная пассажирка погибла. Трагедия произошла недалеко от села Байрашево Тетюшского района РТ. Фото: Татар-информ --- Татар-информ № --- | 25.11.2024"
25.11.2024, Культура,"В Татарской филармонии состоится концерт, посвященный Альфие Авзаловой","15 декабря в 18.00 в концертном зале Татарской Государственной Филармонии им.Г.Тукая сойдутся две эпохи: богатое наследие Альфии Авзаловой, звучащие словно эхо прошлого, и новые песни, рожденные молодыми авторами объединения «Калеб». В концерте примут участие: Филюс Кагиров, Эльмира Калимуллина, Алина Шарипжанова, Эльза Исламова, Ильгиз Шайхразиев, Илюса Хузина, Алина Каримова, Ильгиз Мухутдинов, Алмас Хусаенов, Гульназ Закирова, Татьяна Ефремова, Алсу Файзуллина, Динар Шарафутдинов, Элина Сафина. Оркестр Татарского государственного театра драмы и комедии имени К. Тинчурина. Дирижер – Ильяс Камал. 6+ --- Татарская госфилармония № --- | 25.11.2024"
25.11.2024, Культура,"В театре Тинчурина состоится показ театрального представления «Ай-ли, замана»","30 ноября 11:00 в театре Тинчурина театральная студия для детей с ограниченными возможностями здоровья «Могҗиза» («Чудо») покажет театральное представление «Ай-ли, замана». Мероприятие состоится в преддверии Декады инвалидов. Напомним, 10 ноября показ спектакля «Ай-ли, замана» состоялся в с. Пестрецы. Фото: Отдел культуры Пестречинского муниципального района. --- Театр Тинчурина № --- | 25.11.2024"
25.11.2024, Экология,"Юрий Переведенцев: «Зимы становятся все теплее. Льды тают, мерзлота разрушается»","Татарстан в этом году как никогда ощущает на себе глобальное потепление. В республике сохраняется аномально теплая погода: снежного покрова до сих пор нет, а температура на 5 градусов выше нормы, хотя должна быть на уровне -5 градусов. Эта неделя будет теплой, с дневной температурой от 0 до -1 градуса, ночью от -3 до -5 градусов. По предварительному прогнозу, похолодание ожидается в начале следующей недели, то есть с началом декабря и настоящей зимы. Как рассказал «Челнинским известиям» профессор КФУ Юрий Переденцев, этот год оказался самым теплым на планете за всю историю метеонаблюдений, а это период в 170 лет. Кроме того, шестой месяц подряд в Татарстане фиксируются температуры выше климатической нормы. Все это следствие глобального потепления. Идет тенденция к увеличению теплых периодов и сокращению холодных. «Россия – северная страна, поэтому лучше, чем южные страны, реагирует на глобальное потепление. В России оно идет в два раза быстрее, чем на всем полушарии. Следствием этого может стать освобождение ото льда Северного Ледовитого океана. В России 60 процентов заняты зоной вечной мерзлоты, и она начинает разрушаться, а это ведет к разрушению фундамента. Зимы становятся все теплее, и у нас все больше опасных неблагоприятных явлений, наводнений, засух и прочего», - уверен Юрий Переведенцев. --- Челнинские известия № --- | 25.11.2024"
25.11.2024, Общество,"Частные резиденции, виллы, барнхаусы: загородные дома как элемент статуса и повышенного комфорта","Какие дома сегодня в тренде и на что обратить внимание при выборе и строительстве своего дома, чтобы он не потерял актуальность еще минимум 50 лет Рынок загородной недвижимости в последние годы претерпел большие изменения. Ключевым драйвером его развития стала пандемия, которая повысила престиж частных застроек и показала всем необходимость иметь свой частный дом. Если раньше проекты были максимально типовыми с классической облицовкой из коричневого кирпича и стандартными планировками, то в последние несколько лет рынок шагнул вперёд. Для покупателей сегодня огромный выбор, начиная с небольших вилл и барнхаусов в современной трендовой архитектуре, заканчивая частными резиденциями с собственными бассейнами и садами. В моде на загородные дома уже прочно вошли новые архитектурные и цветовые решения, стили и варианты отделки. Эксперты рассказали о ключевых трендах в загородной недвижимости, которые будут актуальны не один десяток лет. Первый тренд – стильный экстерьер. Авторский дизайн, современная архитектура, сочетание стекла, металла, бетона. Частные дома сегодня – выражение характера и статуса его обладателя. Неотъемлемые составляющие такого дома – стильный вертикальный свет, подчеркивающий величие застройки, чаще – плоская кровля, прямоугольные формы и светлые природные тона. В отделке может быть использовано дерево, декоративный камень крупных форматов и выразительные темные витражи. Колонны, арки, барельефы и прочие элементы декора ушли в прошлое, уступив первенство модерну и минимализму. Второй тренд – комплексная застройка. Люди стали всё чаще выбирать современные коттеджные посёлки, где есть архитектурная концепция, примерно единое стилевое решение всех застроек, огороженная охраняемая территория и развитая инфраструктура: есть качественные подъездные пути, магазины, аптеки, детские сады, школы. Всё чаще это частные посёлки в городе или в ближайшей локации от него. Сегодня люди не готовы тратить часы, стоять в пробках на выезде в город и жертвовать своим комфортом. Важно, чтобы частные дома располагались рядом с городскими домами. Так автоматически закрывается социальный вопрос: у вас будет городская прописка, прикрепление к медицинским и пр. учреждениям. Третий тренд – необычные планировки. Современные дома сочетают максимально функциональные и практичные решение. В топе сегодня – большие кухни-гостиные, как общественные пространства для сбора всей семьей и приёма гостей, частные мастер-спальни со своими ванными и гардеробными, как приватные пространства для хозяев дома, летние террасы на первых и высоких этажах для релакса, утренних завтраков и занятий спортом и многое другое. Отдельные пространства проектировщики выделяют для постирочных и гладильных. Для хранения – оборудуют кладовые, гардеробные. Вместо привычных бань – спа-комплексы с саунами, джакузи и бассейнами. Для любителей спорта – выделяют отдельные помещения под фитнес, для тех, кто работает из дома – организуют рабочие кабинеты. Дом сегодня – многофункциональное пространство, решающее множество задач. Четвёртый тренд – дом под ключ. Люди устали годами делать ремонт, разбираться во всех тонкостях строительства и отделки дома, поэтому всё чаще доверяют это дело профессионалам, желая получить на выходе полностью готовый к переезду дом со всем ремонтом и мебелью. Поэтому сегодня на рынке ценятся компании, оказывающие полный спектр услуг, такие, как «ПосейDOM»*. Пятый тренд – благоустроенный участок. Посеять газон – сегодня мало. Важен продуманный ландшафтный дизайн, благоустройство и зонирование территории. И, если раньше фантазия владельцев не знала предела, то сегодня в тренде – сад с многолетними растениями и кустарниками, хвойными и лиственные насаждениями, травами, злаками, не требующими постоянного ухода, автоматические системы полива и освещения. Сегодня в тренде естественное озеленение, которое не требует больших усилий в уходе, выглядит натурально и свежо. Компания «ПосейDOM» всегда следит за трендами и пополняет свои коллекции домов свежими и интересными решениями. Застройщик выполняет полный комплекс услуг, начиная с выбора земельного участка под будущую застройку, заканчивая всеми видами отделочных, ремонтных работ и ландшафтного дизайна. Подробнее о компании и проектах домов можно узнать на сайте poseydom.ru и по телефону (843) 225 22 33 . Реклама. ООО «ПОСЕЙДОМ» erid: 2VtzqxZFEV5 Реклама. Рекламодатель Общество с ограниченной ответственностью «ПОСЕЙДОМ», ИНН 1655492620, ОГРН 1231600003810, юридический адрес: РТ, г. Казань, ул. Подлужная, 67а. *Застройщик: Общество с ограниченной ответственностью «ПОСЕЙДОМ», ИНН 1655492620, ОГРН 1231600003810, юридический адрес: РТ, г. Казань, ул. Подлужная, 67а. Условия реализации: при приобретении объектов строительства, оплата цены договора осуществляется по всем действующим формам оплаты: за счет собственных денежных средств, с привлечением кредитных средств. Подробнее о данном предложении можно узнать в офисе продаж и по тел. (843) 225 22 33. Настоящее предложение не является публичной офертой. --- Татпресса.ру № --- | 25.11.2024"
25.11.2024, Общество,«Элита» предлагает решения для улучшения генетики стада,"Каждое хозяйство имеет индивидуальный запрос на улучшение тех или иных качеств животных – здоровье конечностей, длина сосков, низкая соматика, вымя для робота и так далее… Отталкиваясь от запроса клиента, специалисты АО «ГПП «Элита» формируют четкий рабочий процесс, основной целью которого является сделать ваше стадо более прибыльным. Подход к работе состоит из нескольких ключевых моментов: - Аудит фермы и проведение бонитировки - Обсуждение полученных результатов и дальнейшей работы с зоотехником-селекционером хозяйства - Правильный подбор быков-производителей, подходящий под требования хозяйства и исключающий инбридинг - Дальнейшая работа с воспроизводством от осеменения до отела и в послеродовом периоде. АО «ГПП «Элита» - одно из крупнейших предприятий России по производству и реализации семени быков-производителей с богатейшим опытом селекционно-племенной работы. Сегодня основная задача компании – производство высоко фертильного семени быков-производителей мировой селекции из США, Канады, Германии, Нидерландов и других стран. Узнать подробнее об услугах, предоставляемых АО «ГПП «Элита» можно на сайте elitaplem.ru и по телефону 8 (800) 550-77-54 (бесплатно по России). Реклама. АО «ГПП «Элита» erid: 2VtzqvwZtcf --- Татпресса.ру № --- | 25.11.2024"
25.11.2024, Происшествия,В Казани 19-летний водитель сбил двух пешеходов на «зебре» (ВИДЕО),"В центре Казани на перекрестке Астрономическая-Островского 19-летний водитель сбил двух женщин в возрасте 74 и 78 лет. Об этом сообщает Госавтоинспекция РТ. По предварительным данным, водитель поворачивал с улицы Астрономической на Островского и не заметил женщин, которые переходили дорогу на разрешающий сигнал светофора в установленном месте. Пострадавших госпитализировали. Госавтоинспекция Казани призывает всех участников дорожного движения неукоснительно соблюдать ПДД. --- Вести-Татарстан № --- | 25.11.2024"
25.11.2024, Происшествия,"В Татарстане «Лада» с 19-летней девушкой за рулем вылетела с трассы, пассажирка погибла","Трагедия произошла накануне в половине девятого вечера недалеко от села Байрашево Тетюшского района РТ. По данным Прокуратуры РТ, 19-летняя водитель не справилась с управлением, когда объезжала препятствие на трассе, «Лада Калина» вылетела в кювет. В салоне авто находились еще четыре пассажирки. Одна из них – 19-летняя девушка – погибла. Трое других госпитализированы. Водитель от госпитализации отказалась. На место происшествия выехал заместитель прокурора Тетюшского района РТ Булат Закиров. --- Татар-информ № --- | 25.11.2024"
24.11.2024, Культура,В Татарстане впервые сняли реалити-шоу на татарском языке,"В Татарстане сняли проект под названием «Асылыбызга кайту» — «Возвращение к истокам». Это первое в республике реалити-шоу на татарском языке. Сняла передачу телерадиокомпания ГТРК Татарстан, а сами съемки прошли летом. Герои реалити-шоу - две девушки: одна – из поселка, другая – из Казани. По сюжету им предстоит поменяться местами и на себе испытать истинные ценности в деревнях и больших городах. Проект создан при поддержке Комиссии при Раисе РТ по вопросам сохранения, развития татарского языка и родных языков представителей народов, проживающих в республике Татарстан. Согласно опубликованному постеру, реалити-шоу покажут 30 ноября в 08:00 и 1 декабря 08:15 на ГТРК Татарстан. Фото: Вести Татарстан Источник --- Комиссия по вопросам сохранения, развития татарского языка и родных языков народов, проживающих в РТ № --- | 24.11.2024"
24.11.2024, Происшествия,В Башкирии велосипедист провалился под лед и утонул,"В Башкирии велосипедист провалился под лед и утонул. Нечастный случай произошел в селе Караидель Караидельского района. По предварительным данным, 59-летний мужчина хотел переехать на велосипеде на другой берег реки Уфа, чтобы сократить путь до дома, но провалился под лёд на середине пути. «Очевидцы пытались дойти до него, чтобы вытащить, но один из спасающих мужчин тоже провалился под лед. Его успели достать и сразу увезли в больницу, после осмотра он самостоятельно ушел домой», — сообщили подробности происшествия в пресс-службе МЧС по РБ. Известно, что провалившегося по лед мужчину до сих пор не нашли. На месте работают спасатели. --- Татпресса.ру № --- | 24.11.2024"
24.11.2024, Экология,Гидромет РФ: Аномальное тепло не покинет Татарстан до середины следующей недели,"Почти во всех регионах России до середины следующей недели сохранится теплая погода. Об этом рассказал научный руководитель Гидрометцентра РФ Роман Вильфанд, сообщает «Интерфакс». «<...> до середины следующей недели на территории России не ожидается холодная погода <...>», — отметил метеоролог. По словам синоптика, «практически на всей территории России в ближайшие дни погода теплая», за исключением одного только юга Западной Сибири. В Новосибирской, Омской и Томской областях температура окажется ниже нормы из-за вхождения холодных воздушных масс, но затем туда тоже придет потепление, пояснил он. В частности, в Приволжском федеральном округе «очень высокие температуры [ожидаются] повсеместно», тепло будет и на Урале. В воскресенье в регионах Западной Сибири (но не южной ее части) температура будет на 16–20 градусов выше нормы, а в Якутии — на 8–10 градусов, уточнил Вильфанд. --- Татар-информ № --- | 24.11.2024"
24.11.2024, Общество,Путин увеличил ожидаемый период выплаты накопительной пенсии,"Президент России Владимир Путин подписал закон об увеличении ожидаемого периода выплаты накопительной пенсии до 22,5 года (270 месяцев). Документ размещен на портале официального опубликования правовых актов. Начиная с 2021 года ожидаемый период выплаты накопительной пенсии считался равным 22 годам (264 месяцам). Государственная Дума приняла закон 12 ноября, Совет Федерации одобрил его 20 ноября. Новелла начнет действовать с 1 января 2025 года. Продолжительность ожидаемого периода выплаты накопительной пенсии устанавливается исходя из статистики продолжительности жизни мужчин в возрасте 60 лет и женщин в возрасте 55 лет. При этом используется методика оценки ожидаемого периода выплаты накопительной пенсии, утвержденная постановлением Правительства РФ. --- Татар-информ № --- | 24.11.2024"
23.11.2024, Общество,Путин подписал закон о списании долгов до 10 млн рублей участникам СВО,"Президент РФ Владимир Путин подписал закон, согласно которому некоторым участникам СВО спишут просроченные долги в размере до 10 млн рублей. Долг могут списать, если судебный акт о взыскании денег вступил в силу до 1 декабря 2024-го и по нему уже возбудили исполнительное производство. При этом у должника должен быть подписан контракт с Минобороны не раньше 1 декабря текущего года, следует из опубликованного документа. Списать долги могут участникам СВО, которых мобилизовали или призвали проходить армию в зоне боевых действий, гражданам, подписавшим контракт с Минобороны минимум на год, а также для их супругов. Согласно тому же закону, увеличиваются на 150 дней и кредитные каникулы для участников СВО, в течение которых они могут не платить деньги кредитору. Ранее льготный период рассчитывали из срока мобилизации или военного контракта заемщика или срока его участия в спецоперации с прибавлением 30 дней. Теперь же прибавлять будут 180 дней. Изменения вносятся в ФЗ «Об особенностях исполнения обязательств по кредитным договорам». Документ вступит в силу 1 декабря 2024-го. --- Татар-информ № --- | 23.11.2024"
23.11.2024, Происшествия,"Погиб сам, а пассажиров отправил в больницу: в Татарстане Audi улетел в кювет","23 ноября в Алексеевском районе Татарстана случилось смертельное ДТП. По данным Госавтоинспекции, 21-летний водитель автомобиля Audi съехал в кювет и опрокинулся. Парень погиб на месте, а троих пассажиров увезли в больницу. Обстоятельства произошедшего выясняются. --- Челнинские известия № --- | 23.11.2024"
23.11.2024, Культура,В Пензенской области пройдёт День татарстанского кино,"24 ноября в Центре культуры и досуга г. Пензы вниманию зрителей будет представлен игровой полнометражный фильм «Мулла» (реж. Рамиль Фазлиев, Амир Галиаскаров). Также в сельских населённых пунктах Пензенской области запланированы показы кинолент: «Бөркетләр» («Орлы») (реж. Рамиль Тухватуллин), «Бибинур» (реж. Юрий Фетинг), «Инсаф» (Фарид Давлетшин), «Апипа» (реж. Ильшат Рахимбай). Все фильмы будут продемонстрированы на языке оригинала с русскими субтитрами, что предоставляет уникальную возможность глубже познакомиться с богатством и многообразием татарской культуры. Мероприятия проводятся РОО «Татарская национально-культурная автономия Пензенской области», совместно с ГБУК РТ «Татаркино». --- Татаркино № --- | 23.11.2024"
23.11.2024, Происшествия,В Казани водитель Renault насмерть переехал лежащего на дороге мужчину,"Водитель Renault Duster задавил лежащего на земле мужчину на улице Джаудата Файзи в Казани. Смертельный наезд произошел около полуночи, рассказал начальник отдела Госавтоинспекции управления МВД России по Казани Михаил Савин. По данным ГАИ, 50-летний мужчина по неизвестной причине упал на местный проезд. Спустя минуту на него наехала иномарка. От полученных травм пешеход скончался. Решается вопрос о возбуждении уголовного дела. --- Татпресса.ру № --- | 23.11.2024"
22.11.2024, Происшествия,Следком сообщил детали массового побоища иностранных студентов,"Разборка на кулаках произошла между двумя группами иностранных граждан утром 22 ноября у здания одного из учебных заведений по улице Гвардейской города Казани. Прибывшие на место происшествия сотрудники полиции пресекли действия нарушителей. Но один молодой человек применил насилие в отношении стража порядка: схватив за форменную одежду, оттолкнул от себя. По данному факту возбуждено уголовное дело по части 1 статьи 318 УК РФ «Применение насилия в отношении представителя власти» В настоящее время участники драки задержаны. Следствие обратится в суд с ходатайством об избрании меры пресечения иностранцу, применившему насилие в отношении сотрудника полиции. Подробности и обстоятельства произошедшего выясняются, сообщает пресс-служба СУ СКР по РТ. Ляля ГАЙФУТДИНОВА Челнинские известия № --- | 22.11.2024"
22.11.2024, Общество,В Казани приняли решение о введении туристического налога,"Казанская городская дума приняла решение ввести туристический налог с 1 января следующего года. С 2025 года налог на проживание в гостиницах Казани составит 1% от стоимости, но не менее 100 рублей. Ставка будет ежегодно увеличиваться на 1 процентный пункт и к 2029 году достигнет 5%. Несовершеннолетние будут освобождены от уплаты налога. Депутат фракции КПРФ Динара Халимдарова предложила освободить от налога жителей Татарстана, которые останавливаются в гостиницах без туристической цели. Однако начальник финансового управления Казани Ирек Мухаметшин отметил, что налог должен взиматься с всех, включая зарегистрированных в республике. --- Вести-Татарстан № --- | 22.11.2024"
22.11.2024, Культура,Гульназ Асаевой присвоено почетное звание,"Лауреату Вагаповского фестиваля, певице Гульназ Асаевой присвоено почетное звание ""Заслуженная артистка Башкортостана"". Нагрудный знак вручили певице накануне во время ее концерта в Уфе. --- Фестиваль им. Рашита Вагапова № --- | 22.11.2024"
22.11.2024, Политика,"Путин заявил, что российские военные применили новейшую систему средней дальности «Орешник»","Президент России Владимир Путин заявил, что 21 ноября российские военные впервые применили новейшую систему средней дальности «Орешник». Путин отметил, что новые ракеты способны атаковать цели со скоростью 2-3 километра в секунду, и существующие системы противоракетной обороны, включая американские элементы в Европе, не смогут их перехватить. Также он подчеркнул, что использование «Орешника» является ответом на планы США по производству и развертыванию ракет средней и меньшей дальности. Владимир Путин добавил, что Россия будет заранее предупреждать мирных жителей в случае применения данной системы. --- Вести-Татарстан № --- | 22.11.2024"
